공고게시일,공고ID,주택유형,지역,전체세대수,특별공급코드,공급유형코드,공고일,번호,시스템구분,상세URL,마감일,상위공급코드,공고명,상위주택유형,공고상태,모바일상세URL,구분,신청일시,서류제출시작일,서류제출종료일,계약시작일,계약종료일,전용면적,임대보증금,월임대료,공급면적,총세대수,첨부파일명,다운로드링크,파일구분명,단지명,단지주소,단지상세주소,교육환경,교통여건,편의시설,난방방식,부대시설,입주예정월
2024.05.07,2015122300015828,국민임대,경기도,1241,062,07,20240507,768,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015828&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.05.24,06,하남풍산1단지 국민임대주택 예비입주자 모집,임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015828&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.10.26,2025.10.25,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,하남풍산1단지국민임대주택예비입주자모집공고.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57144958,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2008.12
2024.05.03,2015122300015838,행복주택,경상남도,1241,063,10,20240429,769,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015838&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10&mi=1026,2024.05.10,06,"[정정공고]경남 고성군 행복주택(고성남외, 고성서외) 예비입주자 모집 공고('24.04.29.)",임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015838&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,고성남외행복주택예비자입주자모집공고문('24.04.29.)_정정.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57131746,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2023.08
2024.05.03,2015122300015838,행복주택,경상남도,1241,063,10,20240429,769,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015838&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10&mi=1026,2024.05.10,06,"[정정공고]경남 고성군 행복주택(고성남외, 고성서외) 예비입주자 모집 공고('24.04.29.)",임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015838&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,고성서외행복주택예비자입주자모집공고문('24.04.29.)_정정.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57131751,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2023.08
2024.05.02,0000060632,공공임대,광주광역시,1241,060,08,20240502,770,02,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060632&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,2024.05.13,06,[정정공고]광주효천6(효천2지구 A-1블록) 10년 공공임대주택 예비입주자 모집(2024.05.02),임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060632&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,무순위,2024.05.13 10:00 ~ 2024.05.13 16:00,NO_DATA,20240524,NO_DATA,NO_DATA,51.87 ~ 59.95,31963000,455600,72.39,532,(정정공고)광주효천6(광주효천2지구A-1블록)예비입주자모집공고문.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57118280,정정공고문(PDF),"광주효천2(05,국민1) A-1",광주광역시 남구 효우2로 90,"(행암동,효천엘에이치천년나무6단지아파트)",-,-,-,개별가스난방,-,2016년 05월
2024.05.02,0000060633,공공임대,전라남도,1241,060,08,20240502,771,02,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060633&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,2024.05.13,06,[정정공고]나주빛가람 3단지(B8BL)·1단지(B9BL) 10년 공공임대주택 예비입주자 모집,임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060633&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,무순위,2024.05.13 10:00 ~ 2024.05.13 16:00,NO_DATA,20240524,20240730,20240731,59.89 ~ 84.96,26225000,450000,78.7671,1029,"(정정공고)나주빛가람3단지(B8BL),1단지(B9BL)예비입주자모집공고문.pdf",https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57118449,정정공고문(PDF),광주전남혁신 B8,전라남도 나주시 그린로 154,"(빛가람동,빛가람엘에이치3단지아파트)","-인근에 전남과학고, 외국어고 등 특목고 위치-유치원, 초 , 중 , 고 등 수준높은 미래지향적 교육환경","-국지도 49호선으로 호남고속도로 20분, 장성IC 25분 이내 진입 편리-광주공항 15분, 무안국제공항 25분, KTX 나주역 5분, 광주송정역 15분 이내 진입 가능하여 교통여건 양호","-골프 빌리지와 대규모 호수공원, 인근에 나주호 관광단지, 지석강 유원지, 영산강 수변공원 등이 위치하는 주거가치",개별가스난방,-,2014년 09월
2024.05.02,0000060627,공공임대,전라남도,1241,060,08,20240502,772,02,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060627&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,2024.05.13,06,나주빛가람 3단지(B8BL)·1단지(B9BL) 10년 공공임대주택 예비입주자 모집,임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060627&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,무순위,2024.05.13 10:00 ~ 2024.05.13 16:00,NO_DATA,20240524,20240730,20240731,59.89 ~ 84.96,26225000,450000,78.7671,1029,"(24.05.02)나주빛가람3단지(B8BL),1단지(B9BL)예비입주자모집공고문.pdf",https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57036527,공고문(PDF),광주전남혁신 B8,전라남도 나주시 그린로 154,"(빛가람동,빛가람엘에이치3단지아파트)","-인근에 전남과학고, 외국어고 등 특목고 위치-유치원, 초 , 중 , 고 등 수준높은 미래지향적 교육환경","-국지도 49호선으로 호남고속도로 20분, 장성IC 25분 이내 진입 편리-광주공항 15분, 무안국제공항 25분, KTX 나주역 5분, 광주송정역 15분 이내 진입 가능하여 교통여건 양호","-골프 빌리지와 대규모 호수공원, 인근에 나주호 관광단지, 지석강 유원지, 영산강 수변공원 등이 위치하는 주거가치",개별가스난방,-,2014년 09월
2024.05.02,0000060626,공공임대,광주광역시,1241,060,08,20240502,773,02,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060626&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,2024.05.13,06,광주효천6(효천2지구 A-1블록) 10년 공공임대주택 예비입주자 모집(2024.05.02),임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060626&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,무순위,2024.05.13 10:00 ~ 2024.05.13 16:00,NO_DATA,20240524,NO_DATA,NO_DATA,51.87 ~ 59.95,31963000,455600,72.39,532,(24.05.02)광주효천6(광주효천2지구A-1블록)예비입주자모집공고문.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57051502,공고문(PDF),"광주효천2(05,국민1) A-1",광주광역시 남구 효우2로 90,"(행암동,효천엘에이치천년나무6단지아파트)",-,-,-,개별가스난방,-,2016년 05월
2024.05.02,2015122300015822,영구임대,경상남도,1241,062,09,20240429,774,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015822&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09&mi=1026,2024.05.17,06,[정정공고]밀양부북 A2BL 영구임대주택 입주자 추가모집,임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015822&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.09.04,2024.09.06,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,(240429)밀양부북A2BL영구임대추가모집공고문_정정(게시용).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57098754,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.09
2024.04.30,2015122300015821,국민임대,경기도,1241,062,07,20240430,775,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015821&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.05.24,06,파주운정3 A24BL 국민임대주택 입주자 모집공고,임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015821&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.10.21,2024.10.23,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,240430파주운정3A24BL국민임대입주자공고문★.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57085301,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2025.01
2024.04.30,2015122300015792,국민임대,전북특별자치도,1241,062,07,20240430,776,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015792&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.05.22,06,완주황운 국민임대주택 최초 입주자 모집공고,임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015792&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.09.09,2024.09.11,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,(요약공고)20240430완주황운국민임대주택.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57061220,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2025.04
2024.04.30,2015122300015792,국민임대,전북특별자치도,1241,062,07,20240430,776,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015792&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.05.22,06,완주황운 국민임대주택 최초 입주자 모집공고,임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015792&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.09.09,2024.09.11,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,20240430완주황운국민임대주택최초입주자모집공고.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57061207,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2025.04
2024.04.30,2015122300015810,행복주택,강원특별자치도,1241,063,10,20240429,777,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015810&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10&mi=1026,2024.05.14,06,"[정정공고]강원영동지역[강릉시, 삼척시] 행복주택 예비입주자 모집('24.04.29)",임대주택,접수마감,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300015810&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,20240429행복주택입주자공고문.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=57074192,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2023.12
